date,securityName,weight,Sector,wgtSector
5/22/2026,\"Hitachi Ltd\",0.0006793,Industrials,0.3711180
5/22/2026,\"Eve Energy Co Ltd-A\",0.0006770,Industrials,0.3711180
5/22/2026,\"Daifuku Co Ltd\",0.0006725,Industrials,0.3711180
5/22/2026,\"CERES POWER HOLDINGS PLC GBp 10.0000\",0.0006637,Industrials,0.3711180
5/22/2026,\"Rockwell Automation Inc/DE\",0.0006540,Industrials,0.3711180
5/22/2026,\"Spire Global Inc\",0.0006397,Industrials,0.3711180
5/22/2026,\"HENAN PINGGAO  CNY 1.000000000\",0.0006342,Industrials,0.3711180
5/22/2026,\"HENSOLDT AG EUR NPV\",0.0006299,Industrials,0.3711180
5/22/2026,\"Sacyr SA\",0.0006269,Industrials,0.3711180
5/22/2026,\"Furukawa Electric Co Ltd\",0.0006164,Industrials,0.3711180
5/22/2026,\"Anhui Yingliu Electromecha-A\",0.0006068,Industrials,0.3711180
5/22/2026,\"Elecnor SA\",0.0006067,Industrials,0.3711180
5/22/2026,\"Suzhou Recodeal Interconne-A\",0.0006019,Industrials,0.3711180
5/22/2026,\"Qingdao Hanhe Cable Co Ltd-A\",0.0005992,Industrials,0.3711180
5/22/2026,\"AutoStore Holdings Ltd.\",0.0005887,Industrials,0.3711180
5/22/2026,\"Hubei Wanrun New Energy Te-A\",0.0005816,Industrials,0.3711180
5/22/2026,\"Ackermans  van Haaren NV\",0.0005652,Industrials,0.3711180
5/22/2026,\"GUOXUAN HIGH-TECH CO LTD-A CNY 1.0000\",0.0005438,Industrials,0.3711180
5/22/2026,\"HUNAN YUNENG N CNY 1.000000000\",0.0005351,Industrials,0.3711180
5/22/2026,\"Creotech Instruments Sa\",0.0005325,Industrials,0.3711180
5/22/2026,\"Bouygues SA\",0.0005296,Industrials,0.3711180
5/22/2026,\"Shijiazhuang Shangtai Tech-A\",0.0005213,Industrials,0.3711180
5/22/2026,\"ADVANCED ENERGY SOLUTION HOL TWD 10.0000\",0.0005121,Industrials,0.3711180
5/22/2026,\"OHB AG NPV\",0.0005118,Industrials,0.3711180
5/22/2026,\"Honeywell International Inc\",0.0005039,Industrials,0.3711180
5/22/2026,\"NINGBO RONBAY NEW ENERGY T-A CNY 1.0000\",0.0004944,Industrials,0.3711180
5/22/2026,\"Deere  Co\",0.0004925,Industrials,0.3711180
5/22/2026,\"Shoals Technologies Group -A\",0.0004925,Industrials,0.3711180
5/22/2026,\"VENTIA SAUD NPV\",0.0004879,Industrials,0.3711180
5/22/2026,\"Jiangxi Special Electric -A\",0.0004878,Industrials,0.3711180
5/22/2026,\"Deme Group\",0.0004794,Industrials,0.3711180
5/22/2026,\"Doosan Robotics Inc\",0.0004591,Industrials,0.3711180
5/22/2026,\"CHINA SOUTHERN POWER GRID -A CNY 1.0000\",0.0004486,Industrials,0.3711180
5/22/2026,\"Xuji Electric Co Ltd-A\",0.0004437,Industrials,0.3711180
5/22/2026,\"Austal Ltd\",0.0004388,Industrials,0.3711180
5/22/2026,\"MYR Group Inc/Delaware\",0.0004383,Industrials,0.3711180
5/22/2026,\"SWCC Corp\",0.0004290,Industrials,0.3711180
5/22/2026,\"SHENZHEN CLOU  CNY 1.000000000\",0.0004278,Industrials,0.3711180
5/22/2026,\"Huaming Power Equipment Co-A\",0.0004264,Industrials,0.3711180
5/22/2026,\"Shihlin Electric  Engineering\",0.0004159,Industrials,0.3711180
5/22/2026,\"Sulzer AG\",0.0004006,Industrials,0.3711180
5/22/2026,\"Electro Optic Systems Holdin\",0.0003998,Industrials,0.3711180
5/22/2026,\"Xiamen Kehua Hengsheng Co-A\",0.0003918,Industrials,0.3711180
5/22/2026,\"Jungheinrich - Prfd\",0.0003898,Industrials,0.3711180
5/22/2026,\"RONGFA NUCLEAR CNY 1.000000000\",0.0003877,Industrials,0.3711180
5/22/2026,\"STX Engine Co Ltd\",0.0003796,Industrials,0.3711180
5/22/2026,\"Kongsberg Maritime As\",0.0003633,Industrials,0.3711180
5/22/2026,\"KEPCO Engineering  Constructi\",0.0003629,Industrials,0.3711180
5/22/2026,\"Hunan Zhongke Electric Co -A\",0.0003513,Industrials,0.3711180
5/22/2026,\"Broadridge Financial Solutions Inc.\",0.0003502,Industrials,0.3711180
5/22/2026,\"Cadeler A/S\",0.0003501,Industrials,0.3711180
5/22/2026,\"2G Energy Ag\",0.0003437,Industrials,0.3711180
5/22/2026,\"BEIJING EASPRING MATERIAL-A CNY 1.0000\",0.0003415,Industrials,0.3711180
5/22/2026,\"Daihen Corp\",0.0003414,Industrials,0.3711180
5/22/2026,\"RENK GMBH EUR 1.0000\",0.0003403,Industrials,0.3711180
5/22/2026,\"Vitzrocell Co Ltd\",0.0003349,Industrials,0.3711180
5/22/2026,\"Hebei Huatong Wires \u0026 Cabl-A\",0.0003345,Industrials,0.3711180
5/22/2026,\"Maire Tecnimont Spa\",0.0003293,Industrials,0.3711180
5/22/2026,\"Acter Group Corp Ltd\",0.0003283,Industrials,0.3711180
5/22/2026,\"Valmont Industries Inc\",0.0003243,Industrials,0.3711180
5/22/2026,\"Guocheng Mining Co Ltd-A\",0.0003143,Industrials,0.3711180
5/22/2026,\"AQ GROUP AB SEK NPV\",0.0003135,Industrials,0.3711180
5/22/2026,\"Babcock International Group PL\",0.0003130,Industrials,0.3711180
5/22/2026,\"SILEX SYSTEMS LTD NPV\",0.0003104,Industrials,0.3711180
5/22/2026,\"CHINA BAOAN GROUP-A CNY 1.0000\",0.0003055,Industrials,0.3711180
5/22/2026,\"Firstec Co Ltd\",0.0003029,Industrials,0.3711180
5/22/2026,\"MELROSE INDUSTRIES PLC GBP NPV\",0.0003027,Industrials,0.3711180
5/22/2026,\"Koninklijke Heijmans NV\",0.0002995,Industrials,0.3711180
5/22/2026,\"Aerospace Industrial Development\",0.0002944,Industrials,0.3711180
5/22/2026,\"SHENZHEN MEGME CNY 1.000000000\",0.0002942,Industrials,0.3711180
5/22/2026,\"Fangda Carbon New Material Co\",0.0002936,Industrials,0.3711180
5/22/2026,\"CHINA ENERGY ENGINEERING C-H HKD 1.0000\",0.0002935,Industrials,0.3711180
5/22/2026,\"Chemring Group PLC\",0.0002935,Industrials,0.3711180
5/22/2026,\"HARBIN ELECTRI CNY 1.000000000\",0.0002898,Industrials,0.3711180
5/22/2026,\"Shenzhen Inovance Technology-A\",0.0002897,Industrials,0.3711180
5/22/2026,\"GOODWIN PLC GBP0.1\",0.0002894,Industrials,0.3711180
5/22/2026,\"Ningbo Deye Technology Corp CNY 1.0000\",0.0002892,Industrials,0.3711180
5/22/2026,\"Danieli  C Officine Meccanich SpA\",0.0002836,Industrials,0.3711180
5/22/2026,\"Kubota Corp\",0.0002821,Industrials,0.3711180
5/22/2026,\"Exosens Sas\",0.0002790,Industrials,0.3711180
5/22/2026,\"SES AI Corp\",0.0002738,Industrials,0.3711180
5/22/2026,\"Morgan Sindall Group PLC\",0.0002681,Industrials,0.3711180
5/22/2026,\"Senior PLC\",0.0002658,Industrials,0.3711180
5/22/2026,\"United Integrated Services Co\",0.0002652,Industrials,0.3711180
5/22/2026,\"CSBC Corp Taiwan\",0.0002643,Industrials,0.3711180
5/22/2026,\"Kier Group PLC\",0.0002633,Industrials,0.3711180
5/22/2026,\"Korea Plant Service  Engineer\",0.0002621,Industrials,0.3711180
5/22/2026,\"GALLIFORD TRY HOLDINGS PLC NPV\",0.0002618,Industrials,0.3711180
5/22/2026,\"CHINA FIRST HEAVY INDUSTR-A CNY 1.0000\",0.0002608,Industrials,0.3711180
5/22/2026,\"Komatsu Ltd\",0.0002606,Industrials,0.3711180
5/22/2026,\"Aecon Group Inc\",0.0002591,Industrials,0.3711180
5/22/2026,\"QinetiQ Group PLC\",0.0002588,Industrials,0.3711180
5/22/2026,\"Costain Group PLC\",0.0002548,Industrials,0.3711180
5/22/2026,\"ZHEJIANG CHINT ELECTRICS-A CNY 1.0000\",0.0002543,Industrials,0.3711180
5/22/2026,\"Sime Darby Bhd\",0.0002522,Industrials,0.3711180
5/22/2026,\"Serco Group PLC\",0.0002517,Industrials,0.3711180
5/22/2026,\"Renew Holdings Plc\",0.0002514,Industrials,0.3711180
5/22/2026,\"Koninklijke BAM NBM NV\",0.0002507,Industrials,0.3711180
5/22/2026,\"COHORT PLC GBp 10.0000\",0.0002473,Industrials,0.3711180
5/22/2026,\"Mota Engil SGPS Sa\",0.0002411,Industrials,0.3711180
5/22/2026,\"Implenia AG\",0.0002404,Industrials,0.3711180
5/22/2026,\"Sung Kwang Bend Co Ltd\",0.0002403,Industrials,0.3711180
5/22/2026,\"Per Aarsleff Holding AS B\",0.0002399,Industrials,0.3711180
5/22/2026,\"NCC AB\",0.0002376,Industrials,0.3711180
5/22/2026,\"Porr Ag\",0.0002364,Industrials,0.3711180
5/22/2026,\"Obrascon Huarte Lain SA\",0.0002344,Industrials,0.3711180
5/22/2026,\"Peab AB\",0.0002313,Industrials,0.3711180
5/22/2026,\"Fincantieri Spa\",0.0002292,Industrials,0.3711180
5/22/2026,\"Hanjin Heavy Industries  Cons\",0.0002291,Industrials,0.3711180
5/22/2026,\"AVON RUBBER PLC GBP1\",0.0002163,Industrials,0.3711180
5/22/2026,\"Studsvik Ab\",0.0002061,Industrials,0.3711180
5/22/2026,\"Central Glass Co Ltd\",0.0002019,Industrials,0.3711180
5/22/2026,\"Air Asia Co Ltd\",0.0001998,Industrials,0.3711180
5/22/2026,\"Taihei Dengyo Kaisha Ltd\",0.0001981,Industrials,0.3711180
5/22/2026,\"Nippon Carbon Co\",0.0001971,Industrials,0.3711180
5/22/2026,\"Tokyo Keiki Inc\",0.0001959,Industrials,0.3711180
5/22/2026,\"Harbin Power Equipment Co Ltd\",0.0001930,Industrials,0.3711180
5/22/2026,\"Sk Oceanplant Co Ltd\",0.0001923,Industrials,0.3711180
5/22/2026,\"Chengdu Guoguang Electric -A\",0.0001919,Industrials,0.3711180
5/22/2026,\"ZANGGE MINING CO LTD-A CNY 1.0000\",0.0001782,Industrials,0.3711180
5/22/2026,\"Mitsui  Co Ltd\",0.0001696,Industrials,0.3711180
5/22/2026,\"Shin Nippon Air Technologies\",0.0001671,Industrials,0.3711180
5/22/2026,\"Marubeni Corp\",0.0001569,Industrials,0.3711180
5/22/2026,\"Delta Electronics Inc\",0.0079103,Information Technology,0.2266660
5/22/2026,\"Advanced Micro Devices\",0.0066981,Information Technology,0.2266660
5/22/2026,\"Solaredge Technologies Inc\",0.0066434,Information Technology,0.2266660
5/22/2026,\"SK Hynix Inc\",0.0049774,Information Technology,0.2266660
5/22/2026,\"Samsung Electronics Co Ltd\",0.0046606,Information Technology,0.2266660
5/22/2026,\"Intel Corp\",0.0044279,Information Technology,0.2266660
5/22/2026,\"Nvidia Corp\",0.0043807,Information Technology,0.2266660
5/22/2026,\"Coreweave Inc-Cl A\",0.0042045,Information Technology,0.2266660
5/22/2026,\"Samsung SDI Co Ltd\",0.0042045,Information Technology,0.2266660
5/22/2026,\"Micron Technology Inc\",0.0041192,Information Technology,0.2266660
5/22/2026,\"Taiwan Semiconductor Manufacturing Co Ltd\",0.0041019,Information Technology,0.2266660
5/22/2026,\"Broadcom Inc\",0.0039717,Information Technology,0.2266660
5/22/2026,\"LAM RESEARCH CORP\",0.0036288,Information Technology,0.2266660
5/22/2026,\"ASML Holding NV\",0.0035310,Information Technology,0.2266660
5/22/2026,\"Applied Materials Inc\",0.0033688,Information Technology,0.2266660
5/22/2026,\"TDK Corp\",0.0033639,Information Technology,0.2266660
5/22/2026,\"IREN Ltd USD NPV\",0.0031492,Information Technology,0.2266660
5/22/2026,\"KLA Corp\",0.0027306,Information Technology,0.2266660
5/22/2026,\"Viasat Inc\",0.0026520,Information Technology,0.2266660
5/22/2026,\"Teradyne Inc\",0.0026452,Information Technology,0.2266660
5/22/2026,\"Advantest Corp\",0.0025238,Information Technology,0.2266660
5/22/2026,\"Elite Material Co Ltd\",0.0023401,Information Technology,0.2266660
5/22/2026,\"Nokia OYJ\",0.0023367,Information Technology,0.2266660
5/22/2026,\"Rigetti Computing Inc\",0.0023322,Information Technology,0.2266660
5/22/2026,\"Crowdstrike Holdings Inc - A\",0.0023267,Information Technology,0.2266660
5/22/2026,\"D-Wave Quantum Inc\",0.0022498,Information Technology,0.2266660
5/22/2026,\"Datadog Inc - Class A\",0.0022318,Information Technology,0.2266660
5/22/2026,\"Palo Alto Networks Inc\",0.0021829,Information Technology,0.2266660
5/22/2026,\"Zscaler Inc\",0.0021309,Information Technology,0.2266660
5/22/2026,\"Sentinelone Inc -Class A\",0.0020991,Information Technology,0.2266660
5/22/2026,\"CREDO TECHNOLOGY GROUP HOLDI USD 0.0001\",0.0020511,Information Technology,0.2266660
5/22/2026,\"Unimicron Technology Corp\",0.0020476,Information Technology,0.2266660
5/22/2026,\"Hon Precision Inc\",0.0019744,Information Technology,0.2266660
5/22/2026,\"Fortinet Inc\",0.0019367,Information Technology,0.2266660
5/22/2026,\"Hengtong Optic-electric Co Ltd\",0.0018757,Information Technology,0.2266660
5/22/2026,\"Amphenol Corp\",0.0018745,Information Technology,0.2266660
5/22/2026,\"Ondas Inc\",0.0018673,Information Technology,0.2266660
5/22/2026,\"Murata Manufacturing Co Ltd\",0.0018620,Information Technology,0.2266660
5/22/2026,\"Ouster Inc\",0.0018175,Information Technology,0.2266660
5/22/2026,\"Ciena Corp\",0.0018144,Information Technology,0.2266660
5/22/2026,\"Omron Corp\",0.0017745,Information Technology,0.2266660
5/22/2026,\"Akamai Technologies Inc\",0.0017375,Information Technology,0.2266660
5/22/2026,\"Applied Digital Corp\",0.0017307,Information Technology,0.2266660
5/22/2026,\"Cloudflare Inc - Class A\",0.0017139,Information Technology,0.2266660
5/22/2026,\"CAMBRICON TECHNOLOGIES-A CNY 1.0000\",0.0017108,Information Technology,0.2266660
5/22/2026,\"Sandisk Corp-W/I\",0.0016712,Information Technology,0.2266660
5/22/2026,\"JINKO SOLAR CO LTD-A CNY 1.0000\",0.0016380,Information Technology,0.2266660
5/22/2026,\"Teledyne Technologies Inc\",0.0016294,Information Technology,0.2266660
5/22/2026,\"AMBARELLA INC USD0.00045\",0.0016269,Information Technology,0.2266660
5/22/2026,\"Okta Inc\",0.0016159,Information Technology,0.2266660
5/22/2026,\"Rubrik Inc-A\",0.0015340,Information Technology,0.2266660
5/22/2026,\"Canadian Solar Inc\",0.0015003,Information Technology,0.2266660
5/22/2026,\"Cipher Mining Inc\",0.0014954,Information Technology,0.2266660
5/22/2026,\"Keyence Corp\",0.0014924,Information Technology,0.2266660
5/22/2026,\"Trend Micro Inc\",0.0014858,Information Technology,0.2266660
5/22/2026,\"Terawulf Inc\",0.0014796,Information Technology,0.2266660
5/22/2026,\"Allegro Microsystems Inc\",0.0014496,Information Technology,0.2266660
5/22/2026,\"Cleanspark Inc\",0.0014304,Information Technology,0.2266660
5/22/2026,\"Sailpoint Inc\",0.0014288,Information Technology,0.2266660
5/22/2026,\"Hut 8 Corp\",0.0014239,Information Technology,0.2266660
5/22/2026,\"Riot Blockchain Inc\",0.0014023,Information Technology,0.2266660
5/22/2026,\"STMicroelectronics NV\",0.0013839,Information Technology,0.2266660
5/22/2026,\"Asia Vital Components Co Ltd\",0.0013538,Information Technology,0.2266660
5/22/2026,\"Cisco Systems Inc\",0.0013189,Information Technology,0.2266660
5/22/2026,\"First Solar Inc\",0.0013157,Information Technology,0.2266660
5/22/2026,\"Core Scientific Inc\",0.0012654,Information Technology,0.2266660
5/22/2026,\"F5, Inc\",0.0012627,Information Technology,0.2266660
5/22/2026,\"FOXCONN INDUSTRIAL INTERNE-A CNY 1.0000\",0.0012482,Information Technology,0.2266660
5/22/2026,\"Wiwynn Corp\",0.0012479,Information Technology,0.2266660
5/22/2026,\"Marathon Digital Holdings Inc\",0.0012384,Information Technology,0.2266660
5/22/2026,\"NXP SEMICONDUCTORS NV NPV\",0.0011940,Information Technology,0.2266660
5/22/2026,\"Marvell Technology Inc\",0.0011617,Information Technology,0.2266660
5/22/2026,\"MediaTek Inc\",0.0011530,Information Technology,0.2266660
5/22/2026,\"Monolithic Power Systems Inc\",0.0011362,Information Technology,0.2266660
5/22/2026,\"Robosense Technology Co Ltd\",0.0011350,Information Technology,0.2266660
5/22/2026,\"Accton Technology Corp\",0.0011288,Information Technology,0.2266660
5/22/2026,\"Robotis Co Ltd\",0.0011245,Information Technology,0.2266660
5/22/2026,\"Qualys Inc\",0.0011110,Information Technology,0.2266660
5/22/2026,\"Elastic Nv\",0.0010513,Information Technology,0.2266660
5/22/2026,\"Cadence Design Systems Inc\",0.0010494,Information Technology,0.2266660
5/22/2026,\"Lumentum Holdings Inc\",0.0010387,Information Technology,0.2266660
